Station,Country,Longitude,Latitude,Average,Model_Raw,Residual_Raw,Model_matched_2015_to_2024,Residual_matched_2015_to_2024,Model_matched_2022_to_2024,Residual_matched_2022_to_2024,Model_matched_2023_to_2024,Residual_matched_2023_to_2024
AT4S404,AT,14.2376,48.2253,14.952,11.426814079284668,-3.525185920715332,12.32577133178711,-2.6262286682128906,12.11694049835205,-2.835059501647949,16.03203582763672,1.0800358276367188
AT4S406,AT,14.0366,48.1649,16.474,8.434121131896973,-8.039878868103028,11.038033485412598,-5.4359665145874025,12.863958358764648,-3.6100416412353518,16.696212768554688,0.2222127685546873
AT4S409,AT,14.4424,48.0493,11.062,4.768672466278076,-6.293327533721923,8.771416664123535,-2.2905833358764642,10.241053581237793,-0.8209464187622064,12.414722442626953,1.3527224426269537
AT4S416,AT,14.3148,48.2733,21.374,16.54190444946289,-4.832095550537108,21.338520050048828,-0.03547994995117065,15.529006004333496,-5.844993995666503,18.701171875,-2.6728281249999988
AT51066,AT,13.0433,47.8056,14.935,10.43941879272461,-4.495581207275391,21.275115966796875,6.3401159667968745,21.14735984802246,6.21235984802246,16.383390426635742,1.4483904266357417
AT52100,AT,13.1051,47.6668,7.158,6.923146724700928,-0.23485327529907263,9.324227333068848,2.1662273330688473,10.502967834472656,3.344967834472656,7.943803310394287,0.7858033103942867
AT53055,AT,13.0158,47.9367,5.234,5.90469217300415,0.6706921730041504,5.476113319396973,0.24211331939697267,6.069287300109863,0.8352873001098633,5.274911880493164,0.04091188049316408
AT54057,AT,13.2056,47.3514,14.858,1.9820765256881714,-12.87592347431183,16.404943466186523,1.546943466186523,18.22652816772461,3.368528167724609,14.441207885742188,-0.41679211425781304
AT55032,AT,13.808,47.1257,10.618,1.6485793590545654,-8.969420640945435,15.174391746520996,4.556391746520996,14.045039176940918,3.4270391769409176,11.374969482421875,0.7569694824218747
AT56072,AT,12.7951,47.3266,13.119,2.159501791000366,-10.959498208999634,14.737372398376465,1.618372398376465,15.382872581481934,2.263872581481934,10.829368591308594,-2.289631408691406
AT60106,AT,15.0867,47.0633,15.249,3.0625832080841064,-12.186416791915894,6.518937587738037,-8.730062412261963,12.075385093688965,-3.1736149063110357,15.03231430053711,-0.21668569946289118
AT60107,AT,15.1528,47.0447,11.65,3.7893214225769043,-7.860678577423096,6.669364929199219,-4.980635070800782,10.73213005065918,-0.9178699493408207,12.156281471252441,0.506281471252441
AT60118,AT,14.6767,47.1781,8.676,2.619692325592041,-6.056307674407959,7.516639709472656,-1.159360290527344,8.59967041015625,-0.07632958984375016,9.762824058532715,1.0868240585327147
AT60138,AT,15.4151,47.0944,14.281,11.9586763381958,-2.3223236618042,13.402480125427246,-0.8785198745727545,15.132055282592773,0.8510552825927729,18.42919921875,4.148199218749999
AT60139,AT,15.4044,47.0694,18.258,11.9586763381958,-6.299323661804198,13.402480125427246,-4.855519874572753,15.132055282592773,-3.1259447174072257,18.42919921875,0.17119921875000088
AT60142,AT,15.0741,47.3753,12.176,9.144306182861328,-3.031693817138672,17.93010902404785,5.754109024047851,14.224320411682129,2.0483204116821287,13.118242263793945,0.9422422637939452
AT60145,AT,15.2903,47.4458,12.993,5.304604530334473,-7.688395469665528,13.772318840026855,0.7793188400268551,11.029129981994629,-1.9638700180053714,12.91806411743164,-0.0749358825683597
AT60170,AT,15.4331,47.0417,20.585,11.9586763381958,-8.6263236618042,13.402480125427246,-7.182519874572755,15.132055282592773,-5.452944717407227,18.42919921875,-2.155800781250001
AT60172,AT,15.4319,47.0692,18.737,11.9586763381958,-6.7783236618041975,13.402480125427246,-5.334519874572752,15.132055282592773,-3.604944717407225,18.42919921875,-0.3078007812499983
AT60179,AT,15.9719,47.2829,12.847,4.5813493728637695,-8.26565062713623,10.367866516113281,-2.4791334838867183,12.903402328491211,0.056402328491211406,12.10573673248291,-0.7412632675170894
AT60180,AT,15.2533,47.4094,11.271,5.304604530334473,-5.966395469665528,13.772318840026855,2.5013188400268547,11.029129981994629,-0.2418700180053719,12.91806411743164,1.6470641174316398
AT60194,AT,15.6731,47.6047,11.398,1.646289587020874,-9.751710412979126,12.32507038116455,0.9270703811645511,11.443934440612793,0.04593444061279328,12.274364471435547,0.8763644714355472
AT60195,AT,15.2128,46.8139,9.325,3.683098793029785,-5.641901206970214,5.680111885070801,-3.6448881149291985,8.383514404296875,-0.9414855957031243,9.53816032409668,0.2131603240966804
AT60197,AT,15.5406,46.7783,14.517,7.498741149902344,-7.018258850097656,11.008650779724121,-3.5083492202758784,12.583919525146484,-1.933080474853515,12.528818130493164,-1.9881818695068354
AT60198,AT,16.079,47.0474,11.114,5.707343101501465,-5.406656898498536,10.488572120666504,-0.6254278793334969,13.727791786193848,2.613791786193847,9.09243392944336,-2.0215660705566414
AT72110,AT,11.3924,47.2626,20.801,8.737634658813477,-12.063365341186522,11.540082931518555,-9.260917068481444,11.761643409729004,-9.039356590270994,17.50835609436035,-3.292643905639647
AT72113,AT,11.3747,47.2699,11.555,8.737634658813477,-2.817365341186523,11.540082931518555,-0.014917068481445028,11.761643409729004,0.2066434097290042,17.50835609436035,5.953356094360352
