experiment,role,Country,N,RMSE,MAE,Bias,R,R2corr,R2true
matched_2015_to_2024,temporal_gap,HU,3,1.7512117775663611,1.1597048924764006,-1.1067403895060224,0.9996561982484917,0.9993125146966277,-0.20250712201973808
matched_2015_to_2024,temporal_gap,IE,4,3.3306085355384534,3.2382454771995546,-3.2382454771995546,0.9721790349509468,0.9451320759981543,-0.04087304422855631
matched_2015_to_2024,temporal_gap,IT,194,5.704329463778251,4.108359492621471,2.9740594463594183,0.8468739888576887,0.7171955530037327,0.21239281123999199
matched_2015_to_2024,temporal_gap,LT,4,2.4324148645553576,1.8790764329433443,-1.376856247186661,0.9700731252807349,0.9410418683919323,0.8229848556339552
matched_2015_to_2024,temporal_gap,LU,5,5.327501644179754,3.7747118625640868,-3.7747118625640868,0.8818994850200694,0.7777467016786637,-0.26922229258106145
matched_2015_to_2024,temporal_gap,LV,1,0.44346988487243655,0.44346988487243655,0.44346988487243655,,,
matched_2015_to_2024,temporal_gap,NL,42,3.065958079681154,2.617438315436954,2.533077453431629,0.9445088594158886,0.8920969855151027,0.5452750697136142
matched_2015_to_2024,temporal_gap,NO,4,0.8600090454552073,0.7333071398735045,0.2916937508583068,0.9857546620366496,0.9717122537269893,0.939551076719268
matched_2015_to_2024,temporal_gap,PL,62,5.354891255374485,3.799876546582868,3.305918194340122,0.8943021951150543,0.7997764161876046,-0.1718046988526456
matched_2015_to_2024,temporal_gap,PT,14,4.939178529788355,3.6982900096348357,3.5499573386056085,0.8822571793871249,0.7783777305801255,0.1307462651969925
matched_2015_to_2024,temporal_gap,SE,9,2.5729526835766996,1.9532222339842056,1.9529010657204522,0.9877101626376152,0.9755713653776243,0.5087456532372103
matched_2015_to_2024,temporal_gap,TR,24,14.250087594122476,10.643441633701325,-4.467982521216075,0.662841908487853,0.43935939564781923,0.3539258715502579
matched_2022_to_2024,temporal_gap,AD,1,1.5646911468505849,1.5646911468505849,-1.5646911468505849,,,
matched_2022_to_2024,temporal_gap,AT,80,2.858906771019443,2.127458102631569,-0.48332656075954433,0.7962312033804698,0.6339841292367111,0.620852961439414
matched_2022_to_2024,temporal_gap,BE,29,2.7259471268609565,2.278939219244595,2.1111172117035966,0.9767540330274982,0.954048441035483,0.7526782949912889
matched_2022_to_2024,temporal_gap,BG,10,6.393482861485086,4.963620289611816,1.400997703552246,0.5893284642227918,0.34730803874319444,0.08625836551505639
matched_2022_to_2024,temporal_gap,CH,16,1.873692984820439,1.6324213753938672,1.5251904498338698,0.9811741154124027,0.962702644755311,0.8574548947077962
matched_2022_to_2024,temporal_gap,CY,1,0.7831730346679686,0.7831730346679686,0.7831730346679686,,,
matched_2022_to_2024,temporal_gap,CZ,36,2.6922326440129054,1.7289886078834535,0.2911982266638016,0.8450148539830326,0.7140501034519658,0.6646086871678639
matched_2022_to_2024,temporal_gap,DE,220,1.3976736473320504,1.1257205928975886,0.9741370215849443,0.9801331351383529,0.9606609625961366,0.9130076339533382
matched_2022_to_2024,temporal_gap,DK,1,1.615810066223145,1.615810066223145,1.615810066223145,,,
matched_2022_to_2024,temporal_gap,EE,5,0.4014074178612283,0.2905504796981811,0.09621441249847403,0.9923767948193942,0.984811702896014,0.9806103156994304
matched_2022_to_2024,temporal_gap,ES,124,2.392002439073971,1.6164587534281514,1.0605174274175395,0.9683840891534616,0.9377677441255795,0.8882574209527814
matched_2022_to_2024,temporal_gap,FI,2,0.14671417215645052,0.14575925827026365,0.14575925827026365,1.0,1.0,-4.784748269699707
matched_2022_to_2024,temporal_gap,FR,136,3.267187584091708,2.156908470714793,1.2404786872302784,0.8512954060700642,0.7247038683959954,0.54208547417234
matched_2022_to_2024,temporal_gap,GR,3,2.5636435657308256,2.4816535034179683,-2.4816535034179683,0.9969413818056956,0.9938921187566497,0.8483665182080167
matched_2022_to_2024,temporal_gap,HR,1,2.0430464172363294,2.0430464172363294,2.0430464172363294,,,
matched_2022_to_2024,temporal_gap,HU,3,1.0384483417287316,1.0093074696858721,1.0093074696858721,0.9887100017552884,0.9775474675709425,0.5771560581176296
matched_2022_to_2024,temporal_gap,IE,4,2.5309056237623717,1.747860739707947,1.747860739707947,0.9402976744873299,0.8841597166462807,0.3989612371722051
matched_2022_to_2024,temporal_gap,IT,194,2.7856689146427804,1.9255049354808846,1.1665590010082598,0.9364957195032756,0.8770242326479578,0.8121723758020851
matched_2022_to_2024,temporal_gap,LT,4,2.4342354147749052,1.6415858609080316,-1.587067442238331,0.9678670155534724,0.9367665597963857,0.8227197811478071
matched_2022_to_2024,temporal_gap,LU,5,4.143562742170543,2.615102423477173,-2.355413690567017,0.7407987502019431,0.5487827883007609,0.23221725914309432
matched_2022_to_2024,temporal_gap,LV,1,0.7075988082885742,0.7075988082885742,0.7075988082885742,,,
matched_2022_to_2024,temporal_gap,NL,42,2.2780872780338113,2.0092702485947385,1.6979354086376373,0.9464184625640872,0.8957079062821706,0.7489518314322063
matched_2022_to_2024,temporal_gap,NO,4,0.5971392591416939,0.4831513845920565,-0.031886663198471166,0.9953804442115283,0.9907822287187393,0.9708570318744506
