Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
NL00488,NL,4.4876,51.8936,10.111,13.861467,10.555985,0.44498545074462825
NL00495,NL,4.228,51.932,9.347,13.516752,10.8510475,1.504047515869141
NL00561,NL,4.7735,52.3336,10.195,13.513753,11.923552,1.728551559448242
NL00570,NL,4.6405,52.4893,9.594,14.114868,12.003185,2.4091852722167975
NL00701,NL,4.8167,52.448,9.218,13.182682,11.507802,2.2898020095825196
NL00703,NL,4.7286,52.3986,8.802,13.513753,11.923552,3.1215515594482426
NO0056R,NO,11.0741,60.3729,2.37,3.0695503,2.6095655,0.23956549644470204
NO0065A,NO,5.7314,58.9616,7.436,8.670403,9.998175,2.5621746673583985
NO0073A,NO,10.7657,59.9231,7.208,9.76153,10.397828,3.189828102111816
NO0075A,NO,10.4656,61.1209,5.85,4.25896,4.841786,-1.0082140922546383
PL0005R,PL,22.0381,54.1248,9.299,9.273801,11.340742,2.041742111206055
PL0008A,PL,18.975,50.2646,19.57,24.978928,40.712982,21.142982177734375
PL0052A,PL,18.6198,54.3801,14.392,14.688752,14.958825,0.5668251113891607
PL0071A,PL,18.6661,53.0286,14.146,14.389331,16.624388,2.4783877410888664
PL0079A,PL,23.1494,52.0292,19.447,13.096905,21.842934,2.395933654785157
PL0085A,PL,22.5517,51.2731,13.824,18.055399,29.801212,15.977212310791016
PL0091A,PL,23.2902,50.7166,16.175,13.995594,22.69355,6.5185501098632805
PL0096A,PL,19.5298,51.758,15.873,16.50699,29.394901,13.521901275634766
PL0100A,PL,19.4529,51.7764,19.47,20.91413,42.62162,23.151620178222657
PL0129A,PL,20.9559,52.4076,18.742,15.76538,31.453632,12.711632354736327
PL0134A,PL,20.8375,52.1917,16.605,17.462069,27.189947,10.584947128295898
PL0136A,PL,19.7098,52.5509,14.161,17.084942,18.307371,4.146371139526368
PL0138A,PL,21.1475,51.3991,18.26,16.919434,33.48193,15.221929779052733
PL0141A,PL,21.0338,52.1608,13.537,16.640823,21.619417,8.082417190551757
PL0144A,PL,20.4299,52.0538,17.538,16.326242,31.312578,13.774578201293945
PL0175A,PL,20.4861,53.7892,11.495,11.309453,15.937089,4.44208896636963
PL0194A,PL,17.0293,51.1294,16.71,19.128809,28.98127,12.27126983642578
PL0198A,PL,15.0082,51.1504,15.837,13.490923,15.667188,-0.16981230926513646
PL0218A,PL,18.2366,50.3496,16.866,17.838316,25.312727,8.446726974487305
PL0243A,PL,19.4588,50.7109,13.62,13.828267,19.118216,5.498215560913087
PL0248A,PL,14.6633,53.381,12.498,10.658068,11.48501,-1.0129898529052728
PL0276A,PL,22.1125,50.5299,17.415,13.394448,21.0777,3.6626996612548837
PL0295A,PL,19.4109,54.1678,13.092,13.182277,14.228907,1.136906631469726
PL0398A,PL,19.6877,52.5563,15.884,17.495634,21.007418,5.1234176788330075
PL0413A,PL,21.7497,49.6902,12.748,14.244308,22.09211,9.344109680175782
PL0491A,PL,18.1321,53.1515,13.389,13.22088,13.569201,0.18020146942138737
PL0492A,PL,15.2463,52.747,13.785,12.424921,16.42812,2.643119659423828
PL0493A,PL,21.1713,51.4153,17.864,15.96997,26.95993,9.095930419921874
PL0494A,PL,17.9503,50.6769,16.311,19.862602,25.08433,8.77332960510254
PL0495A,PL,22.0106,50.0242,15.247,15.547677,23.02004,7.773040512084961
PL0496A,PL,23.1817,53.1293,13.707,15.070345,22.321749,8.614748733520507
PL0497A,PL,18.6143,54.3986,11.896,14.688752,14.958825,3.0628251113891594
PL0499A,PL,19.0232,49.8064,17.934,20.70029,35.54223,17.608228698730468
PL0500A,PL,16.1932,54.2072,10.522,9.69585,11.985273,1.4632733612060544
PL0502A,PL,21.0042,50.0202,17.393,17.48061,23.65251,6.259509689331054
PL0503A,PL,18.0491,51.748,18.669,17.460344,27.350319,8.681318908691406
PL0505A,PL,15.4317,51.3176,12.943,10.892717,13.576932,0.6339319534301762
PL0509A,PL,19.697,51.4044,20.641,16.895065,32.134663,11.49366262817383
PL0517A,PL,18.2076,50.9722,15.522,15.077719,22.46396,6.941960647583008
PL0518A,PL,21.4546,49.7449,13.026,15.703547,21.693775,8.667775177001953
PL0534A,PL,14.8628,52.9263,14.736,11.147443,18.217072,3.4810715332031243
PL0535A,PL,16.6925,53.7121,11.278,9.817321,12.641065,1.3630646438598628
PL0542A,PL,18.7525,53.4918,17.719,15.142103,27.240484,9.521484237670897
PL0549A,PL,20.4395,49.969,19.346,18.808424,28.472336,9.126335815429687
PL0550A,PL,20.7144,49.6193,23.994,16.87819,35.893906,11.899905639648438
PL0552A,PL,19.4775,50.1594,18.186,19.17156,24.60724,6.421240676879883
PL0566A,PL,21.0842,51.0506,20.691,13.498047,21.158329,0.4673290100097667
