p,k,RMSE,MAE,MBE,R2
0.6000000000000001,19,6.4361025965929,4.689264186554825,0.6151561882885423,0.5220677853628927
0.6000000000000001,20,6.434941697683135,4.681886745237885,0.6217686643681187,0.5222401819151021
0.6000000000000001,21,6.448706958368927,4.699136971209609,0.6359728291989567,0.5201940025477851
0.6000000000000001,22,6.451972360906819,4.708779154014849,0.6643494268412319,0.5197079651426416
0.6000000000000001,23,6.45730895440494,4.709663793566246,0.6568709600981497,0.5189131125859814
0.6000000000000001,24,6.474434423915535,4.729454163286142,0.6507251198422561,0.5163579416878188
0.6000000000000001,25,6.486039889148019,4.744023903732187,0.6521465079104323,0.5146225247242613
0.6000000000000001,26,6.490928994605755,4.745131260205897,0.6410589936727661,0.5138905045400246
0.6000000000000001,27,6.4909399934332965,4.739708788193998,0.6400350551452476,0.5138888571212836
0.6000000000000001,28,6.509117166474983,4.75717477414733,0.6406993086070358,0.511162441940422
0.6000000000000001,29,6.515667796046072,4.761742594041061,0.6466398797753031,0.5101780365320242
0.6000000000000001,30,6.529651235973957,4.776550098150653,0.654176522817088,0.5080733418031365
0.6000000000000001,31,6.527691512785858,4.779777160089675,0.6462249121516964,0.5083685782183622
0.6000000000000001,32,6.527877807820534,4.773579128112426,0.6455762428611211,0.5083405162918695
0.6000000000000001,33,6.53700103041732,4.783930661200884,0.6279200902133962,0.5069652903833741
0.6000000000000001,34,6.534794596166988,4.7858141924367015,0.6130768464439093,0.507298062268841
0.6000000000000001,35,6.535552372941102,4.787330600239796,0.6081588423866077,0.5071837879096894
0.6000000000000001,36,6.53174715346538,4.787092221565582,0.6012888804964504,0.5077574893559673
0.6000000000000001,37,6.5344067372795775,4.7882983709982145,0.5793062122808988,0.5073565470923342
0.6000000000000001,38,6.536902056992626,4.785465489278275,0.5942548519945173,0.506980219848451
0.6000000000000001,39,6.536797516307697,4.788786196414116,0.5959311140921839,0.5069959888512364
0.6000000000000001,40,6.535024608069358,4.7900093089929054,0.6016219535913448,0.5072633773823367
0.7000000000000001,2,7.679499113848912,5.123088587287776,0.4075065928729601,0.3195657325669633
0.7000000000000001,3,7.276570065516781,5.065445776579686,0.3886965063263088,0.3890948042922101
0.7000000000000001,4,7.023358428320835,4.890294820728282,0.4739834050191078,0.4308718682375027
0.7000000000000001,5,6.8696666560265855,4.798699275210351,0.4836371591634713,0.4555077338488547
0.7000000000000001,6,6.777001361840984,4.79817363867614,0.408578866019303,0.4700980305391667
0.7000000000000001,7,6.702607927311031,4.806282807485606,0.4567778481277117,0.481668002363015
0.7000000000000001,8,6.656712510705829,4.7775918052756845,0.4728145128712342,0.4887421492176975
0.7000000000000001,9,6.620316632356105,4.776445335774049,0.5087211934307063,0.4943175167428192
0.7000000000000001,10,6.627957650143218,4.78855125572579,0.5164769865390799,0.4931495488364559
0.7000000000000001,11,6.556798250353512,4.7630122161109165,0.5727925303947528,0.5039744703921909
0.7000000000000001,12,6.5199707130968,4.743998934001559,0.5761079332661845,0.5095308705653137
0.7000000000000001,13,6.486483172408153,4.715661886096564,0.5852120193172997,0.5145561769787115
0.7000000000000001,14,6.481568685444702,4.718416177816141,0.6015267680077188,0.5152914917895901
0.7000000000000001,15,6.487269626848415,4.714140751513805,0.6006185971572628,0.5144384544519084
0.7000000000000001,16,6.481857001522827,4.7038999965500965,0.6081007140206482,0.515248368783078
0.7000000000000001,17,6.483317612933671,4.715014328856687,0.5897918484756804,0.515029877835987
0.7000000000000001,18,6.46137436636685,4.703379710086311,0.5692388201279436,0.5183071536408536
0.7000000000000001,19,6.458920736741749,4.696700983147918,0.584290206818111,0.5186729183731289
0.7000000000000001,20,6.456480480201836,4.689266244559891,0.5900949528966724,0.5190365517803273
0.7000000000000001,21,6.466922176552672,4.702845228472439,0.6033271550105114,0.5174796245181061
0.7000000000000001,22,6.468000934538839,4.710199589013671,0.6308311505828142,0.5173186310473469
0.7000000000000001,23,6.4709178528750035,4.709077428969854,0.6234698845499381,0.5168831766853292
0.7000000000000001,24,6.484667411592852,4.724812435142494,0.6178634301317858,0.5148279194549791
0.7000000000000001,25,6.494012379556786,4.73682487685968,0.6193611299451383,0.5134285618176951
0.7000000000000001,26,6.497810681394795,4.737971879429808,0.6095551889097262,0.5128592109869808
0.7000000000000001,27,6.495583247444932,4.730682852463757,0.608459976188502,0.5131931351360928
0.7000000000000001,28,6.510153563677977,4.745967785386937,0.6088158734182547,0.5110067617772467
0.7000000000000001,29,6.5140409400614585,4.745085556341311,0.6145842977438024,0.5104226071071081
0.7000000000000001,30,6.525461924384581,4.755369206832863,0.621665155523682,0.5087043626273942
0.7000000000000001,31,6.522471980886607,4.756227203031981,0.6151842417310929,0.5091544793181653
0.7000000000000001,32,6.5213482527191005,4.749260542123589,0.6149060539163895,0.5093235960042044
0.7000000000000001,33,6.529448407347204,4.758358663093474,0.5988452961762246,0.5081039024733074
0.7000000000000001,34,6.526672682924519,4.758949916464422,0.5856711722776186,0.5085220320644612
0.7000000000000001,35,6.526689074731172,4.759198159585344,0.5815658038444131,0.5085195633572555
0.7000000000000001,36,6.522910402691819,4.7597103369421045,0.5760122223709704,0.5090884906524069
0.7000000000000001,37,6.524833910477627,4.7604527062022,0.5560597959346784,0.5087989231808756
0.7000000000000001,38,6.526465622050948,4.757458346098587,0.5699438532170873,0.5085532161755844
0.7000000000000001,39,6.52669110680588,4.759916440392064,0.571931320672965,0.5085192573138362
0.7000000000000001,40,6.523719947752214,4.759833060634388,0.5769622336273162,0.5089666310455359
0.8,2,7.689076505773852,5.129679074537376,0.4143270229735264,0.3178674839635492
0.8,3,7.299355470114625,5.063748655042379,0.3943099269442408,0.3852629121751911
0.8,4,7.050739334019099,4.888308462487677,0.4715805533516953,0.4264256706288992
0.8,5,6.898607466355786,4.79789254092952,0.4779624616104488,0.4509103519781728
0.8,6,6.806922856158565,4.797689453370148,0.4043572616791939,0.4654085048762207
0.8,7,6.73682032249146,4.805908880814582,0.4476071908182469,0.4763630112502881
0.8,8,6.694693789731061,4.77628437807654,0.4647580484512385,0.4828913258718449
0.8,9,6.659799852781123,4.7754925319055115,0.4955210797987924,0.4882678027879709
0.8,10,6.663358161441792,4.787360433357169,0.5009704858614189,0.4877208231188472
0.8,11,6.5960673912770895,4.764128439726885,0.5532450308708712,0.4980152126133857
0.8,12,6.558961679259568,4.744858243998581,0.5544844402748292,0.5036470871278866
0.8,13,6.526509954243873,4.719744472091279,0.5608459433640108,0.5085465396713658
0.8,14,6.521276776095046,4.722743298773949,0.5744379685376712,0.5093343519703943
0.8,15,6.523544700759227,4.7173420340988335,0.5736015524340559,0.5089930119957433
0.8,16,6.516097701697473,4.7079222315128035,0.5788996056422698,0.5101133972091366
0.8,17,6.516677526941996,4.718996733672152,0.561600382650873,0.5100262096714177
0.8,18,6.495869997362223,4.708989129427482,0.5423932584699314,0.51315015365034
0.8,19,6.492319585017427,4.702871148231866,0.556082983066748,0.513682197959103
0.8,20,6.488925096036741,4.695707626993164,0.5610698339795467,0.5141906044972009
0.8,21,6.4964450657802235,4.706862566252544,0.5731240822800213,0.5130639498427573
0.8,22,6.495866079125557,4.713322650535964,0.5995148845191656,0.5131507409750076
0.8,23,6.497157008529201,4.712954114322426,0.5923192486407203,0.5129572177508643
0.8,24,6.507932130675995,4.727157177277468,0.5870897603665057,0.5113404191558364
0.8,25,6.515249130758309,4.736742217364119,0.5884023635751444,0.510240981688609
0.8,26,6.518069498158633,4.737793416118161,0.5796172695048453,0.5098168691749974
0.8,27,6.514380009082783,4.729244989361894,0.5783098225482325,0.5103716387913332
0.8,28,6.525823669161136,4.739941111562248,0.5782361032335489,0.5086498902976935
0.8,29,6.527506844879719,4.739070586420149,0.5836731808849427,0.5083963942574241
0.8,30,6.53649884130701,4.745637846473069,0.5901878451481636,0.5070410398441799
0.8,31,6.532840531313236,4.745766902476996,0.5848292225479131,0.5075926782906623
0.8,32,6.53067353760603,4.739292046782695,0.5847567261079736,0.5079192947415346
0.8,33,6.537736049760871,4.7477511065517195,0.5700455954364145,0.5068544106633119
0.8,34,6.53447511156048,4.74739078972746,0.5582630252767187,0.5073462372602655
0.8,35,6.5338256326892825,4.747339264054084,0.5547355478937595,0.5074441647304929
0.8,36,6.529981615056528,4.747295656891749,0.5502090711810473,0.5080235607708263
0.8,37,6.531087771362841,4.747749773527634,0.532042243853209,0.5078568684381571
0.8,38,6.531794318449997,4.744461248953645,0.5447610096177953,0.50775038047875
0.8,39,6.531942087395161,4.745743996038257,0.5468855979668967,0.5077281078760689
0.8,40,6.528007636394392,4.743968692174597,0.5511778760042155,0.508320959527413
0.9,2,7.699480700349041,5.14010769184797,0.4208905658693719,0.3160202293633056
0.9,3,7.324211206548915,5.062524418253117,0.4005116727593201,0.3810691834674031
0.9,4,7.080930599985976,4.889397589170914,0.470801186625347,0.4215030632636353
0.9,5,6.931169127769376,4.797890161752382,0.4744508948668522,0.4457146754085189
0.9,6,6.841089929126539,4.796895011565934,0.402351195048256,0.4600283152390979
