Station,Country,Longitude,Latitude,Average,Model_Raw,Interpolated_Bias,Model_Corrected,Residual,Active
ES0007R,ES,-3.5506,37.2369,5.755,4.688396453857422,3.354394654271613,15.726732001925322,9.97173200192532,0
ES1645A,ES,-3.575,40.4747,34.157,28.63960647583008,1.448926468393016,41.49668386719023,7.339683867190232,0
ES1942A,ES,-3.5806,40.4625,45.72,28.63960647583008,1.4056986798149789,40.25865701349486,-5.461342986505137,0
ES0124A,ES,-3.6392,40.44,43.087,27.585220336914062,1.0865877940829076,29.973763715178418,-13.113236284821587,0
ES1939A,ES,-3.6856,40.4097,34.382,27.585220336914062,1.4307477696297826,39.46749247178592,5.085492471785919,0
ES1947A,ES,-3.6897,40.5006,38.154,16.139925003051758,1.4732580456792477,23.778274367405658,-14.37572563259435,0
ES0125A,ES,-3.705,40.3469,45.749,25.35142707824707,1.6433740148881189,41.66187650072226,-4.0871234992777445,0
ES0126A,ES,-3.7319,40.3947,40.105,25.35142707824707,1.5648844641988058,39.67205438001776,-0.4329456199822346,0
ES1890A,ES,-3.8337,40.3419,34.014,21.215829849243164,1.4623691617399632,31.025375312255417,-2.9886246877445863,0
ES1579A,ES,-4.0628,43.2644,17.354,5.702043533325195,2.1003983968795836,11.976563096333836,-5.377436903666162,0
ES1038A,ES,-4.0642,43.3464,18.736,12.726384162902832,1.8429568619633008,23.45417702100285,4.718177021002848,0
GB0687A,GB,-4.1424,50.3717,18.774,18.674924850463867,1.0835270154944074,20.234785587805455,1.4607855878054572,0
ES1799A,ES,-4.7623,37.8926,22.422,5.33571195602417,2.3076427348539665,12.312916930592625,-10.109083069407378,0
ES2054A,ES,-5.9583,43.5705,14.394,17.735681533813477,1.5139497634354304,26.850930862483043,12.456930862483045,0
ES1997A,ES,-6.0848,40.0437,9.003,1.7520456314086914,2.9488181291316535,5.166463920963864,-3.836536079036137,0
IE0028A,IE,-6.2672,53.322,9.612,20.04783058166504,0.7745911257473976,15.528871659045029,5.916871659045029,0
ES1615A,ES,-6.3424,39.4838,9.033,2.5040597915649414,2.6333735279733648,6.594124767569618,-2.438875232430381,0
IE0036A,IE,-6.3523,53.3405,16.01,17.50338363647461,0.7802236373966165,13.656553647598637,-2.353446352401365,0
