Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
CZ0UMOM,CZ,13.6453,50.5104,53.309,61.420265,49.617268,-3.6917323913574194
CZ0URVH,CZ,13.4195,50.5798,74.918,70.67351,73.54459,-1.3734061889648501
CZ0USNZ,CZ,14.0868,50.7894,69.771,67.57227,66.789665,-2.981334777832032
CZ0UTPM,CZ,13.8512,50.6453,56.423,64.76003,58.23665,1.8136485595703107
CZ0UTUS,CZ,13.3276,50.3766,58.59,67.24992,54.809635,-3.780364837646488
CZ0UULK,CZ,14.0412,50.6835,65.413,66.07686,60.41581,-4.9971903686523405
CZ0ZZLN,CZ,17.6672,49.2329,54.507,68.45266,51.54184,-2.965160400390623
DEBB021,DE,13.0602,52.4014,57.217,63.424095,47.99708,-9.219918243408202
DEBB048,DE,12.8095,52.9319,52.786,63.553085,53.0669,0.28089834594726426
DEBB053,DE,14.0152,52.5639,57.467,63.059994,51.952045,-5.514954559326171
DEBB055,DE,12.5523,52.4204,61.575,63.539833,49.094536,-12.480464172363284
DEBB063,DE,11.7385,52.9988,56.824,62.361988,51.964725,-4.859274505615232
DEBB064,DE,14.3345,51.7468,61.143,64.42015,51.40146,-9.741541259765626
DEBB065,DE,12.5614,52.1942,59.511,65.09681,50.957775,-8.553224884033206
DEBB066,DE,14.0569,51.8975,53.286,63.066383,49.455883,-3.8301169738769545
DEBB075,DE,13.1237,52.4842,52.494,63.48157,48.949635,-3.5443654479980466
DEBB083,DE,14.3764,51.5645,54.564,64.55926,54.57268,0.008681427001953068
DEBB086,DE,13.4243,52.3497,53.389,59.63438,47.73027,-5.658729614257815
DEBB092,DE,14.526,52.3347,58.258,63.841816,52.328682,-5.929318054199221
DEBE010,DE,13.3493,52.543,52.031,57.007008,45.54416,-6.486841064453124
DEBE027,DE,13.3681,52.3984,55.374,61.459854,50.639236,-4.73476354980469
DEBE032,DE,13.2251,52.4732,49.5,61.25064,51.24272,1.7427215576171875
DEBE034,DE,13.4308,52.4895,52.54,58.570667,48.450382,-4.0896177673339835
DEBE051,DE,13.4831,52.6442,46.051,60.038036,53.894352,7.843351959228514
DEBE056,DE,13.6471,52.4477,56.617,62.561493,58.585865,1.9688650207519558
DEBE062,DE,13.2961,52.6533,50.485,61.326523,51.464245,0.9792448425292974
DEBW004,DE,8.4067,49.0765,51.061,62.624477,51.3834,0.3223999633789063
