p,k,RMSE,MAE,MBE,R2
0.8999999999999999,2,10.849448077220636,7.560967576583043,0.6007186060546605,0.1006900178291132
0.8999999999999999,3,10.816361532869726,7.465811152293925,1.0131452715521514,0.1061667367905586
0.8999999999999999,4,10.36973898212598,7.204028389489574,0.861382929964105,0.1784579974891542
0.8999999999999999,5,10.043634907950684,7.061851712612075,0.7774045768692724,0.2293166837211795
0.8999999999999999,6,9.900721975915967,6.981756587642964,0.8287940695786868,0.251093063840432
0.8999999999999999,7,9.793513919883427,6.937997286576153,0.8353594682654346,0.267224041112295
0.8999999999999999,8,9.647231573529174,6.863623800685732,0.8477090999269145,0.2889510006267674
0.8999999999999999,9,9.573471512892754,6.7884482411946365,0.7600648327304546,0.2997824022007681
0.8999999999999999,10,9.522721488907733,6.75150106587441,0.7267816077521,0.3071865856376867
0.8999999999999999,11,9.476443723920635,6.728942993992155,0.7282960746463708,0.313903982670968
0.8999999999999999,12,9.408172366139942,6.669616177846583,0.6865186409831907,0.3237540868344331
0.8999999999999999,13,9.340177535695306,6.6353839303502,0.667676457596091,0.3334935062348584
0.8999999999999999,14,9.280118827999084,6.613952080338687,0.6175832771550942,0.3420374168198867
0.8999999999999999,15,9.255318780998266,6.587481466236066,0.5967075590871225,0.3455493760884078
0.8999999999999999,16,9.243335857990347,6.561237839918932,0.5901179504008157,0.3472429222383708
0.8999999999999999,17,9.217736615146537,6.567715620360572,0.5774898715862935,0.3508535121972381
0.8999999999999999,18,9.206468467477183,6.543241670707866,0.5745197399138857,0.3524396298970599
0.8999999999999999,19,9.200569836378037,6.526855551486391,0.5780698214220749,0.3532691545066836
0.8999999999999999,20,9.155721893199978,6.490563738671046,0.6055074695543158,0.359558733904313
0.8999999999999999,21,9.159539664786646,6.494036673420087,0.600472339797109,0.3590245175377851
0.8999999999999999,22,9.18098487048586,6.506482627342627,0.5966718246573033,0.3560195755569953
0.8999999999999999,23,9.184989162501868,6.506552979496246,0.5881759590041564,0.3554577081634438
0.8999999999999999,24,9.185255137863969,6.5020187786483685,0.5874335085514274,0.3554203788103952
0.8999999999999999,25,9.179777290558825,6.503645847162071,0.6090912376245353,0.3561889706060132
0.8999999999999999,26,9.1785721775336,6.511674956213201,0.6223834339301004,0.3563579973928968
0.8999999999999999,27,9.186818478645502,6.51284867385903,0.5999101048705489,0.3552009437812622
0.8999999999999999,28,9.194881035089631,6.524555909842264,0.6045069758063271,0.3540686671268271
0.8999999999999999,29,9.175140542722378,6.506219356205352,0.601209704582271,0.3568391901890584
0.8999999999999999,30,9.18754251016042,6.513858433977535,0.599578598765632,0.3550993039729959
0.8999999999999999,31,9.191315795586265,6.523655112197313,0.5828676283462477,0.3545694791395954
0.8999999999999999,32,9.19296578346508,6.521639603404672,0.5657977994542109,0.3543377281808181
